condition,round,opponent,conditional_probability,n_conditioned_runs,snapshot_sha
runner_up_group_D,Final,Argentina,0.265487,113,d97a256125b3b3a1
runner_up_group_D,Final,France,0.230088,113,d97a256125b3b3a1
runner_up_group_D,Final,England,0.141593,113,d97a256125b3b3a1
runner_up_group_D,Final,Colombia,0.061947,113,d97a256125b3b3a1
runner_up_group_D,Final,Croatia,0.061947,113,d97a256125b3b3a1
runner_up_group_D,Final,Belgium,0.044248,113,d97a256125b3b3a1
runner_up_group_D,Final,Iran,0.035398,113,d97a256125b3b3a1
runner_up_group_D,Final,Mexico,0.035398,113,d97a256125b3b3a1
runner_up_group_D,Final,Senegal,0.026549,113,d97a256125b3b3a1
runner_up_group_D,Final,Spain,0.017699,113,d97a256125b3b3a1
runner_up_group_D,Final,Brazil,0.017699,113,d97a256125b3b3a1
runner_up_group_D,Final,Scotland,0.017699,113,d97a256125b3b3a1
runner_up_group_D,Final,Czechia,0.00885,113,d97a256125b3b3a1
runner_up_group_D,Final,South Africa,0.00885,113,d97a256125b3b3a1
runner_up_group_D,Final,Portugal,0.00885,113,d97a256125b3b3a1
runner_up_group_D,Final,Switzerland,0.00885,113,d97a256125b3b3a1
runner_up_group_D,Final,Japan,0.00885,113,d97a256125b3b3a1
runner_up_group_D,QF,Mexico,0.34955,555,d97a256125b3b3a1
runner_up_group_D,QF,Switzerland,0.29009,555,d97a256125b3b3a1
runner_up_group_D,QF,South Korea,0.136937,555,d97a256125b3b3a1
runner_up_group_D,QF,Canada,0.127928,555,d97a256125b3b3a1
runner_up_group_D,QF,Czechia,0.03964,555,d97a256125b3b3a1
runner_up_group_D,QF,Qatar,0.032432,555,d97a256125b3b3a1
runner_up_group_D,QF,South Africa,0.016216,555,d97a256125b3b3a1
runner_up_group_D,QF,Bosnia & Herzegovina,0.007207,555,d97a256125b3b3a1
runner_up_group_D,R16,Brazil,0.307213,1123,d97a256125b3b3a1
runner_up_group_D,R16,Morocco,0.278718,1123,d97a256125b3b3a1
runner_up_group_D,R16,Turkey,0.184328,1123,d97a256125b3b3a1
runner_up_group_D,R16,Australia,0.117542,1123,d97a256125b3b3a1
runner_up_group_D,R16,Scotland,0.069457,1123,d97a256125b3b3a1
runner_up_group_D,R16,Paraguay,0.03829,1123,d97a256125b3b3a1
runner_up_group_D,R16,Haiti,0.004452,1123,d97a256125b3b3a1
runner_up_group_D,R32,Brazil,0.483303,2785,d97a256125b3b3a1
runner_up_group_D,R32,Morocco,0.463196,2785,d97a256125b3b3a1
runner_up_group_D,R32,Scotland,0.047397,2785,d97a256125b3b3a1
runner_up_group_D,R32,Haiti,0.006104,2785,d97a256125b3b3a1
runner_up_group_D,SF,Spain,0.419558,317,d97a256125b3b3a1
runner_up_group_D,SF,Germany,0.160883,317,d97a256125b3b3a1
runner_up_group_D,SF,Belgium,0.129338,317,d97a256125b3b3a1
runner_up_group_D,SF,Netherlands,0.123028,317,d97a256125b3b3a1
runner_up_group_D,SF,Uruguay,0.053628,317,d97a256125b3b3a1
runner_up_group_D,SF,Japan,0.0347,317,d97a256125b3b3a1
