pollster,fieldwork_start,fieldwork_end,publication_date,sample_size,cepeda_pct,espriella_pct,other_pct,undecided_pct,abstention_pct,margin_error,source_url
Atlas Intel,2026-06-01,2026-06-02,2026-06-02,2030,42.6,50.3,6.2,0.5,,2.0,https://www.semana.com/politica/articulo/abelardo-de-la-espriella-503-pica-en-punta-y-le-saca-77-puntos-a-ivan-cepeda-426-de-cara-a-la-segunda-vuelta-presidencial-segun-atlasintel/202618/
Centro Nacional de Consultoría,2026-05-16,2026-05-22,2026-05-22,2202,40.9,43.6,10.3,5.2,,3.0,https://cambiocolombia.com/poder/articulo/2026/5/ultima-encuesta-antes-primera-vuelta-cepeda-espriella-cabeza-cabeza-paloma
Atlas Intel,2026-05-18,2026-05-21,2026-05-21,4531,41.3,50.0,0.0,8.8,,1.0,https://www.lasillavacia.com/en-vivo/atlas-intel-cepeda-y-abelardo-llegan-en-empate-tecnico-en-primera-vuelta/
Invamer,2026-05-13,2026-05-20,2026-05-20,2160,52.4,45.3,2.3,0.0,7.6,2.38,https://www.noticiascaracol.com/politica/elecciones-colombia/ivan-cepeda-44-6-abelardo-de-la-espriella-31-6-paloma-valencia-14-0-encuesta-invamer-rg10
Guarumo/EcoAnalítica,2026-05-11,2026-05-19,2026-05-19,3787,40.0,43.6,16.4,0.0,,2.2,https://es.scribd.com/document/1041888095/Encuesta-Electoral-Guarumo-Ecoanalitica-Mayo-de-2026
Atlas Intel,2026-05-09,2026-05-14,2026-05-14,5039,40.4,44.0,0.0,15.6,,1.0,https://www.lasillavacia.com/en-vivo/atlas-intel-abelardo-se-despega-de-paloma-cepeda-sigue-en-la-punta/
Centro Nacional de Consultoría,2026-04-23,2026-04-30,2026-04-30,2157,46.4,37.9,9.9,5.8,,3.0,https://www.elespectador.com/politica/elecciones-colombia-2026/encuesta-cnc-ivan-cepeda-372-abelardo-de-la-espriella-204-y-paloma-valencia-156-lideran-medicion-noticias-hoy/
Guarumo/EcoAnalítica,2026-04-22,2026-04-29,2026-04-29,4680,40.6,40.4,19.0,0.0,,1.8,https://www.eltiempo.com/politica/elecciones-colombia-2026/encuesta-de-guarumo-abril-2026-cepeda-38-de-la-espriella-23-9-y-paloma-22-8-en-segunda-valencia-derrota-a-cepeda-y-abelardo-lo-empata-3552136
Atlas Intel,2026-04-25,2026-04-29,2026-04-29,4037,42.0,47.8,0.0,10.2,,2.0,https://www.lasillavacia.com/en-vivo/encuesta-atlas-intel-cepeda-37-abelardo-29-y-paloma-20/
GAD3,2026-04-20,2026-04-22,2026-04-22,1500,46.0,35.0,13.0,6.0,,2.5,https://www.lasillavacia.com/en-vivo/encuesta-gad3-cepeda-sube-abelardo-se-mantiene-y-paloma-cae/
Invamer,2026-04-15,2026-04-24,2026-04-24,2619,54.6,42.6,2.8,0.0,8.2,2.86,https://www.bluradio.com/nacion/elecciones/intencion-de-voto-en-primera-vuelta-ivan-cepeda-sigue-liderando-segun-encuesta-invamer-so35
Atlas Intel,2026-04-06,2026-04-09,2026-04-09,3617,39.8,48.8,0.0,11.4,,2.0,https://es.scribd.com/document/1024295197/2026-04-Atlas-Intel-y-Semana-Elecciones-Presidenciales-Colombia-2026
