dane_code,municipio,departamento,granularity,potential_votes,share_left_2022,share_right_2022,margin_2022,source,source_url
00,Consulados,Consulados,departamento,972858,0.381821,0.618179,23.6358,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
05,Antioquia,Antioquia,departamento,5115179,0.340725,0.659275,31.8549,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
08,Atlántico,Atlántico,departamento,2016428,0.68143,0.31857,-36.2859,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
11,Bogotá,Bogotá,departamento,5935784,0.60361,0.39639,-20.722,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
13,Bolívar,Bolívar,departamento,1692160,0.620183,0.379817,-24.0366,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
15,Boyacá,Boyacá,departamento,996485,0.410887,0.589113,17.8225,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
17,Caldas,Caldas,departamento,811192,0.411447,0.588553,17.7105,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
18,Caquetá,Caquetá,departamento,309361,0.45021,0.54979,9.9581,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
19,Cauca,Cauca,departamento,1023615,0.807621,0.192379,-61.5242,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
20,Cesar,Cesar,departamento,870366,0.538038,0.461962,-7.6075,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
23,Córdoba,Córdoba,departamento,1319995,0.620748,0.379252,-24.1496,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
25,Cundinamarca,Cundinamarca,departamento,2125275,0.452408,0.547592,9.5184,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
27,Chocó,Chocó,departamento,333180,0.832428,0.167572,-66.4857,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
41,Huila,Huila,departamento,964850,0.414551,0.585449,17.0899,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
44,La Guajira,La Guajira,departamento,645715,0.656782,0.343218,-31.3563,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
47,Magdalena,Magdalena,departamento,1024839,0.6123,0.3877,-22.4601,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
50,Meta,Meta,departamento,787706,0.370698,0.629302,25.8603,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
52,Nariño,Nariño,departamento,1178077,0.824327,0.175673,-64.8654,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
54,Norte de Santander,Norte de Santander,departamento,1296525,0.211388,0.788612,57.7224,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
63,Quindío,Quindío,departamento,490137,0.428135,0.571865,14.3731,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
66,Risaralda,Risaralda,departamento,839324,0.475026,0.524974,4.9948,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
68,Santander,Santander,departamento,1776210,0.262575,0.737425,47.4851,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
70,Sucre,Sucre,departamento,730364,0.651037,0.348963,-30.2075,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
73,Tolima,Tolima,departamento,1120294,0.393082,0.606918,21.3836,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
76,Valle del Cauca,Valle del Cauca,departamento,3675473,0.653388,0.346612,-30.6776,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
81,Arauca,Arauca,departamento,210490,0.315908,0.684092,36.8185,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
85,Casanare,Casanare,departamento,304934,0.285049,0.714951,42.9902,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
86,Putumayo,Putumayo,departamento,243109,0.811679,0.188321,-62.3357,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
88,San Andrés,San Andrés,departamento,51587,0.534263,0.465737,-6.8526,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
91,Amazonas,Amazonas,departamento,51581,0.55691,0.44309,-11.382,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
94,Guainía,Guainía,departamento,32184,0.533464,0.466536,-6.6928,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
95,Guaviare,Guaviare,departamento,64511,0.455229,0.544771,8.9542,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
97,Vaupés,Vaupés,departamento,23447,0.75577,0.24423,-51.1541,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
99,Vichada,Vichada,departamento,52919,0.400084,0.599916,19.9832,"Registraduría 2022 segunda vuelta — resultados por departamento (vía Wikipedia, citando el boletín oficial)",https://es.wikipedia.org/wiki/Elecciones_presidenciales_de_Colombia_de_2022
